TeamName,AdjTempo,AdjOE,AdjDE,eFGPct,TOPct,ORPct,FTRate,eFGPctD,TOPctD,ORPctD,FTRateD
Campbell,65.6004,96.7799,105.276,52.6031746,19.23138893,21.8579235,25.33333333,49.7707924,19.59229971,27.70053476,40.47151277
Canisius,69.9928,97.7367,105.702,48.49543256,20.35442475,28.94969109,30.19881784,51.76136364,21.86545192,29.24976258,35.68181818
Central Arkansas,73.1824,97.9961,107.559,48.5426009,22.98234519,28.77442274,39.85426009,52.38465526,17.83704402,28.88117953,34.78486262
Central Connecticut,69.5097,90.294,113.963,44.7106955,20.3758421,23.3965673,29.28112215,53.38512764,18.01205531,33.42670401,33.24084351
Central Michigan,73.6316,102.002,106.403,47.49311295,17.6825679,27.5261324,33.66391185,54.54026271,21.09904316,28.86904762,29.18332381
Charleston,65.8689,104.962,104.883,51.11782477,16.25426675,22.66800401,32.32628399,49.10820452,17.70464747,29.32692308,32.52080856
Charleston Southern,66.9336,95.4437,109.054,48.40209181,18.78583781,22.76951673,25.33410808,52.59515571,18.59166894,30.0990099,28.77739331
Charlotte,65.5396,98.5013,98.049,51.58783784,20.59998083,21.5261959,37.97297297,50.44585987,20.34439794,23.6673774,27.57961783
Chattanooga,67.0093,106.629,104.764,52.49719416,17.5212392,25.92242195,29.18069585,51.06263982,16.90893783,24.62121212,27.34899329
Chicago St.,68.9879,86.8504,120.836,45.45454545,26.49171787,20.64676617,42.15607401,57.60135135,16.01695913,31.91747573,42.5
Cincinnati,67.9867,108.762,94.744,50.29188558,20.2247191,31.97278912,39.57968476,45.6655481,19.75655431,28.77442274,29.19463087
Clemson,65.9634,103.896,93.4755,50.11648224,18.47597166,23.28638498,28.94583576,48.3205657,20.00765843,24.52651515,28.69770183
Cleveland St.,67.1429,92.8885,105.714,44.52533489,22.18805303,32.23508459,38.73034362,49.97137951,20.5634048,33.11748381,39.49627934
Coastal Carolina,72.7656,104.825,106.156,50.13269639,21.87355588,35.88184188,34.66029724,50.02807412,18.35266158,27.81168265,45.76080853
Colgate,68.4977,107.205,102.475,52.75707899,15.74387616,27.94612795,24.83854943,49.79664464,17.32705924,26.26262626,23.79257753
Colorado,68.1682,109.087,93.3736,50.47806524,19.21467965,30.26070764,36.16422947,46.91256831,19.3512769,23.89380531,26.12021858
Colorado St.,69.3305,109.27,102.12,53.8661281,18.58854618,26.34615385,39.18061166,51.55746509,17.58622261,23.7704918,24.11385607
Columbia,69.0956,95.1935,106.461,46.06389047,15.85091308,20.14787431,22.47575585,52.32491389,16.29257939,25.14734774,25.66016073
Connecticut,68.5023,108.566,95.5985,47.7980666,19.88359716,34.08499566,34.58646617,46.38382688,21.87648617,29.42238267,34.62414579
Coppin St.,73.3838,89.6252,105.289,45.91346154,19.11146742,23.56275304,32.7457265,48.56483854,19.71408126,28.67412141,30.2409021
Cornell,65.1741,101.179,110.276,49.78432782,17.8576779,24.46300716,26.81524083,53.09388336,18.33707865,29.91556092,31.79231863
Creighton,68.2962,118.223,97.2912,55.16365688,15.93208651,23.88059701,28.78103837,48.44169801,17.64419133,30.16710642,23.42826437
Dartmouth,65.773,96.7157,99.8919,49.63744232,18.90180008,21.28121607,27.35662492,49.19041451,16.81939837,20.75664622,29.66321244
Davidson,64.7579,112.483,101.859,53.44931014,16.48941784,24.56140351,31.49370126,49.33814681,17.28408858,24.87611497,32.61131167
Dayton,67.5583,119.051,94.118,59.68115942,17.99142596,26.39040349,33.91304348,46.57998869,18.74106871,26.56794425,30.92142453
Delaware,68.2671,105.637,106.414,47.91891892,20.35827892,31.26064736,33.2972973,48.77163596,22.09944751,30.21390374,35.39921831
Delaware St.,74.6834,94.0641,117.179,54.41676104,18.61859134,23.8,32.27633069,49.83974359,16.71132101,26.79680568,28.95299145
Denver,70.9285,95.0381,106.785,46.95024077,19.82861482,26.04690117,33.49384698,54.02869757,18.70050982,30.01858736,43.81898455
DePaul,70.5505,103.377,95.4771,49.13277512,19.28635849,20.76023392,36.30382775,51.96078431,17.48259834,25.38167939,38.11995386
Detroit,69.3247,99.8949,111.739,46.24324324,19.1353771,30.77578858,32.05405405,53.06503198,16.99403728,30.52245646,31.76972281
Drake,67.8782,101.972,101.349,51.70126874,19.18498486,23.48336595,30.39215686,50.05640158,17.89057624,23.38634238,30.51325437
Drexel,67.3321,99.9738,106.732,50.47512577,21.41581024,29.84389348,28.78703186,50.08090615,15.99292267,26.48698885,29.55771305
Duke,71.9623,115.725,91.1058,52.55493102,17.81708087,34.83642794,35.56463975,45.71580628,20.21302084,27.96610169,30.8674827
Duquesne,67.7756,106.598,99.0147,51.16890707,18.45708059,29.52565344,32.84628872,48.03240741,20.16156033,30.50373134,29.22453704
East Carolina,70.5926,99.6095,104.026,46.73109721,19.25418354,27.26440988,36.78226265,50.05675369,18.710536,26.48401826,40.1816118
East Tennessee St.,66.1035,108.248,96.0159,53.49508954,18.21006094,31.83153771,36.85730791,49.78593272,22.27267296,26.24254473,33.14984709
Eastern Illinois,69.1347,98.1503,104.515,50.46961326,17.42305502,28.19582956,29.39226519,49.06432749,21.41486008,28.82797732,33.85964912
Eastern Kentucky,74.4965,95.4321,104.891,46.50859823,18.8128896,24.85596708,32.5169359,51.74672489,23.33480864,33.55018587,36.29912664
Eastern Michigan,66.838,94.2328,96.5707,46.23878537,21.69223157,25.40650407,42.44306418,49.54007884,23.11726868,30.51546392,30.8804205
Eastern Washington,73.0738,105.418,101.099,51.98347107,17.66507255,27.29779412,29.58677686,49.11881751,18.50183914,27.03461179,33.65548607
Elon,66.1853,100.607,109.956,49.50696056,17.25815321,22.8150874,27.95823666,52.58988422,17.40317971,25.86558045,42.10847044
Evansville,67.5886,96.8703,107.431,48.62170088,18.40341114,19.90654206,32.37536657,52.8125,17.24157963,25.52342971,33.29545455
Fairfield,63.1876,90.0554,101.649,51.69971671,20.35996899,30.21515435,29.2917847,47.86756453,21.30694429,35.45706371,30.52749719
Fairleigh Dickinson,68.8902,102.144,112.378,43.13960455,21.2979658,30.23897059,35.94967046,48.34515366,19.36178709,26.26552053,31.08747045
FIU,72.2007,103.681,102.1,51.07719928,18.53607162,26.54508612,29.80251346,52.50728863,18.04045473,31.66666667,31.89504373
Florida,64.8634,112.467,95.6807,52.1399653,17.81113679,31.11332008,34.00809717,47.93996469,19.21092803,27.43614002,33.72572101
Florida A&M,68.6447,94.4258,107.271,45.3539823,21.21365086,31.20772947,38.74841972,51.41633729,21.6225887,31.79824561,41.10671937
Florida Atlantic,68.7826,99.6563,101.315,48.53279632,18.78405068,28.66419295,26.86996548,50.50898204,20.69180582,26.85093781,29.34131737
Florida Gulf Coast,66.0629,91.2389,103.263,47.24075197,23.32782054,27.81007752,23.04426925,49.07902555,19.84605628,30.07736944,29.82768865
Florida St.,69.9021,111.709,91.491,51.89393939,18.89275146,33.52380952,30.14069264,47.01405152,23.71936679,30.16759777,34.42622951
